Time,Watt
3978,140
3995,135.41043
4012,138
4029,139.02371
4046,151.46747
4063,155.84142
4080,140
4097,146.97121
4114,139.27473
4131,136.28877
4148,139.41162
4165,141.77177
4182,147.64757
4199,144.59874
4216,135.37294
4233,150.86461
4250,144.38976
4267,146.11543
4284,136.34337
4301,146.28189
4318,136.12587
4335,137.40935
4352,136.33202
4369,135.64783
4386,137.47693
4403,145.24628
4420,134.48412
4437,141.7196
4454,136.55046
4471,146.87561
4488,144.96927
4505,143.60689
4522,152.34901
4539,151.8577
4556,157.15291
4573,140
4590,150
4607,155.40169
4624,138.33488
4641,138.42209
4658,143.27113
4675,142.70316
4692,144.7916
4709,136.08444
4726,148.56201
4743,140
4760,139.58545
4777,140
4794,148.20384
4811,136.26617
4828,132.69286
4845,145.2924
4862,200.08182
4879,189.12854
4896,188.60078
4913,186.01759
4930,189.87968
4947,199.31953
4964,195.42488
4981,202.82768
4998,195.67245
5015,205.56293
5032,190.35286
5049,216.93123
5066,213.46373
5083,199.00182
5100,205.83655
5117,213.31421
5134,218.73251
5151,202.68581
5168,213.62132
5185,221.12076
5202,199.71436
5219,205.37444
5236,209.26006
5253,216.72258
5270,230
5287,230
5304,217.31665
5321,207.85335
5338,219.4205
5355,207.96606
5372,215.54074
5389,214.33961
5406,217.77261
5423,197.10776
5440,150
5457,150
5474,143.46738
5491,140
5508,137.11435
5525,141.64673
5542,137.31367
5559,142.84641
5576,140.22548
5593,140.43715
5610,147.68153
5627,154.00378
5644,147.86942
5661,142.06345
5678,146.22272
5695,160.43787
5712,146.99443
5729,149.28801
5746,149.21745
5763,211.99437
5780,225.31297
5797,220.93524
5814,219.75914
5831,217.7336
5848,212.76402
5865,219.89716
5882,210.49361
5899,153.33519
5916,154.28877
5933,143.41212
5950,155.73589
5967,150.70236
5984,148.40019
6001,153.75717
6018,150.44232
6035,157.44275
6052,146.55096
6069,151.33228
6086,151.30878
6103,151.1683
6120,149.75903
6137,150.72601
6154,157.54141
6171,151.95699
6188,148.65936
6205,154.27966
6222,147.53186
6239,153.67159
6256,149.27066
6273,151.69753
6290,233.47115
6307,219.32387
6324,225.01352
6341,225.25258
6358,222.47357
6375,218.59383
6392,211.26183
6409,215.06956
6426,218.89804
6443,154.6407
6460,143.12543
6477,155.21451
6494,151.22464
6511,149.34026
6528,150.2363
6545,152.40155
6562,144.8868
6579,140.40804
6596,152.44704
6613,150.95512
6630,151.20871
6647,146.09798
6664,149.70045
6681,139.1517
6698,146.90869
6715,135.36188
6732,131.34096
6749,137.54842
6766,141.65868
6783,138.48515
6800,130.30229
6817,148.59811
6834,146.55904
6851,146.48918
6868,154.97049
6885,150.28519
6902,151.89516
6919,157.36961
6936,152.86147
6953,150.72958
6970,162.06516
6987,211.00473
7004,226.6248
7021,145.13
7038,151.53252
7055,143.29561
7072,140.47906
7089,142.01495
7106,148.16023
7123,144.35518
7140,151.98155
7157,142.53947
7174,145.73672
7191,147.86098
7208,148.23041
7225,150.63332
7242,147.02327
7259,151.03345
7276,141.7236
7293,154.71239
7310,141.57141
7327,135.65364
7344,140.29007
7361,145.79153
7378,151.28003
7395,151.18636
7412,144.28439
7429,150.76614
7446,144.04976
7463,211.80959
